timestamp,open,high,low,close,volume
2021-04-22 00:00:00,1.20349,1.20468,1.20325,1.20467,4718
2021-04-22 04:00:00,1.20467,1.20468,1.20293,1.20418,6589
2021-04-22 08:00:00,1.20418,1.20556,1.20222,1.20504,8580
2021-04-22 12:00:00,1.20506,1.20690,1.20026,1.20227,16275
2021-04-22 16:00:00,1.20228,1.20232,1.19937,1.20076,10901
2021-04-22 20:00:00,1.20078,1.20181,1.20033,1.20156,3226
2021-04-23 00:00:00,1.20151,1.20264,1.20129,1.20217,4733
2021-04-23 04:00:00,1.20217,1.20371,1.20200,1.20352,5252
2021-04-23 08:00:00,1.20352,1.20616,1.20333,1.20572,9339
2021-04-23 12:00:00,1.20573,1.20756,1.20464,1.20495,13147
2021-04-23 16:00:00,1.20494,1.20934,1.20489,1.20926,6300
2021-04-23 20:00:00,1.20927,1.21000,1.20821,1.20923,3138
2021-04-25 20:00:00,1.20922,1.20981,1.20906,1.20920,1454
2021-04-26 00:00:00,1.20920,1.21136,1.20887,1.21131,5387
2021-04-26 04:00:00,1.21130,1.21170,1.20917,1.20928,6746
2021-04-26 08:00:00,1.20925,1.21094,1.20888,1.20921,9796
2021-04-26 12:00:00,1.20922,1.20932,1.20613,1.20816,11578
2021-04-26 16:00:00,1.20814,1.20936,1.20728,1.20916,5115
2021-04-26 20:00:00,1.20916,1.20929,1.20818,1.20823,3629
2021-04-27 00:00:00,1.20824,1.20843,1.20651,1.20658,4604
2021-04-27 04:00:00,1.20658,1.20802,1.20658,1.20698,4233
2021-04-27 08:00:00,1.20698,1.20852,1.20568,1.20838,9062
2021-04-27 12:00:00,1.20838,1.20928,1.20733,1.20805,11098
2021-04-27 16:00:00,1.20805,1.20897,1.20694,1.20880,6389
2021-04-27 20:00:00,1.20880,1.20930,1.20853,1.20885,2962
2021-04-28 00:00:00,1.20885,1.20908,1.20753,1.20794,4687
2021-04-28 04:00:00,1.20793,1.20795,1.20593,1.20594,4371
2021-04-28 08:00:00,1.20594,1.20797,1.20563,1.20668,9344
2021-04-28 12:00:00,1.20668,1.20999,1.20570,1.20885,12451
2021-04-28 16:00:00,1.20884,1.21348,1.20656,1.21234,13523
2021-04-28 20:00:00,1.21236,1.21328,1.21078,1.21323,6273
2021-04-29 00:00:00,1.21323,1.21502,1.21300,1.21373,4103
2021-04-29 04:00:00,1.21373,1.21382,1.21165,1.21206,5379
2021-04-29 08:00:00,1.21206,1.21249,1.21112,1.21229,10117
2021-04-29 12:00:00,1.21227,1.21358,1.21021,1.21113,15564
2021-04-29 16:00:00,1.21115,1.21261,1.21071,1.21256,7718
2021-04-29 20:00:00,1.21256,1.21293,1.21118,1.21218,3331
2021-04-30 00:00:00,1.21212,1.21266,1.21170,1.21205,4804
2021-04-30 04:00:00,1.21205,1.21217,1.21105,1.21107,4104
2021-04-30 08:00:00,1.21108,1.21129,1.20787,1.20798,8707
2021-04-30 12:00:00,1.20799,1.20922,1.20351,1.20394,14174
2021-04-30 16:00:00,1.20395,1.20427,1.20184,1.20213,11246
2021-04-30 20:00:00,1.20217,1.20283,1.20166,1.20248,3142
2021-05-02 20:00:00,1.20301,1.20301,1.20194,1.20271,1077
2021-05-03 00:00:00,1.20272,1.20355,1.20183,1.20194,3950
2021-05-03 04:00:00,1.20194,1.20397,1.20129,1.20379,5064
2021-05-03 08:00:00,1.20378,1.20575,1.20314,1.20572,8044
2021-05-03 12:00:00,1.20571,1.20757,1.20417,1.20735,11824
2021-05-03 16:00:00,1.20732,1.20759,1.20514,1.20668,5851
2021-05-03 20:00:00,1.20668,1.20668,1.20583,1.20593,2656
2021-05-04 00:00:00,1.20592,1.20602,1.20423,1.20447,3285
2021-05-04 04:00:00,1.20447,1.20450,1.20322,1.20331,4251
2021-05-04 08:00:00,1.20332,1.20357,1.19992,1.20114,10672
2021-05-04 12:00:00,1.20113,1.20332,1.20079,1.20326,15281
2021-05-04 16:00:00,1.20327,1.20356,1.20015,1.20112,13285
2021-05-04 20:00:00,1.20109,1.20204,1.20078,1.20160,3722
2021-05-05 00:00:00,1.20161,1.20231,1.20127,1.20209,3344
