timestamp,open,high,low,close,volume
2003-05-11,3.40551,3.48782,3.39282,3.48179,61.87704912366535
2003-05-18,3.4841800000000003,3.55422,3.47645,3.54152,104.1182242064557
2003-05-25,3.559,3.722,3.55002,3.67695,60.3951581252012
2003-06-01,3.68214,3.744,3.582,3.63995,60.83515612979759
2003-06-08,3.62658,3.685,3.59823,3.63002,61.22089312495231
2003-06-15,3.62881,3.65394,3.50613,3.55898,62.263199144243835
2003-06-22,3.56179,3.64068,3.54214,3.55945,61.312809129108096
2003-06-29,3.56096,3.57371,3.42042,3.44817,61.457250136794585
2003-07-06,3.44527,3.51261,3.43781,3.50843,25.19715904886717
2005-01-02,4.37634,4.38033,4.3729,4.37671,0.3192340007044301
2005-01-09,4.37517,4.37772,4.16244,4.18773,173.17914836637922
2005-01-16,4.18704,4.27404,4.17932,4.22135,150.2740313346487
2005-01-23,4.22714,4.28098,4.19451,4.26952,141.74709432932343
2005-01-30,4.26579,4.27922,4.20519,4.26424,152.66748933373952
2005-02-06,4.25753,4.26225,4.13255,4.13682,166.8094603637249
2005-02-13,4.13872,4.21621,4.09896,4.205,156.42051832956162
2005-02-20,4.19973,4.2827,4.19855,4.2603,175.65553939177508
2005-02-27,4.26238,4.36457,4.25284,4.34397,172.21835437659055
2005-03-06,4.34203,4.37353,4.27838,4.3221,171.66980036651435
2005-03-13,4.33846,4.46763,4.31551,4.45188,168.8846603710165
2005-03-20,4.45401,4.45645,4.35015,4.39193,172.00206737726072
2005-03-27,4.3883,4.39576,4.23334,4.24545,159.15335935201597
2005-04-03,4.24728,4.28713,4.22656,4.2547,168.00016836527385
2005-04-10,4.25933,4.28155,4.2183,4.25809,183.93043538405388
2005-04-17,4.26077,4.2979,4.21555,4.24201,185.30080941502226
2005-04-24,4.23864,4.35408,4.22351,4.33678,177.78119938407397
2005-05-01,4.34174,4.37406,4.29847,4.3418,178.15206439248115
2005-05-08,4.33919,4.35727,4.22959,4.25481,176.73894938879027
2005-05-15,4.26161,4.28374,4.18319,4.19221,189.23200240571003
2005-05-22,4.19291,4.23008,4.15887,4.17108,181.85696938803133
2005-05-29,4.17003,4.201,4.15414,4.18784,197.86567841138248
2005-06-05,4.18776,4.24485,4.1291,4.22413,214.90548246186952
2005-06-12,4.22295,4.274,4.20993,4.25364,208.03049645919702
2005-06-19,4.24964,4.39081,4.23332,4.36904,218.76958548501952
2005-06-26,4.37312,4.43508,4.33147,4.39647,210.60625645531945
2005-07-03,4.39609,4.40243,4.2611,4.28451,205.4298454452267
2005-07-10,4.28762,4.28762,4.20808,4.23439,208.83490744798394
2005-07-17,4.23264,4.2758,4.17247,4.20593,228.85435749580577
2005-07-24,4.20498,4.26731,4.18209,4.24458,213.4827064797072
2005-07-31,4.24754,4.30597,4.21038,4.28734,222.99339848237412
2005-08-07,4.28879,4.39142,4.28122,4.36655,216.11236743985202
2005-08-14,4.37131,4.49618,4.32152,4.46119,238.70159152302364
2005-08-21,4.46116,4.46615,4.35286,4.35787,239.80148252676324
2005-08-28,4.35892,4.40739,4.35042,4.37737,231.7178094985574
2005-09-04,4.38487,4.4718,4.28648,4.43123,229.86570250111347
2005-09-11,4.43648,4.49789,4.41899,4.49531,232.14887649606032
2005-09-18,4.50193,4.60128,4.4409,4.58916,243.76398651957177
2005-09-25,4.58231,4.75262,4.57654,4.62541,259.4357145734156
2005-10-02,4.62438,4.7432,4.57686,4.67122,251.85186154752668
2005-10-09,4.67439,4.75932,4.62508,4.74043,244.6188665431084
2005-10-16,4.74103,4.80293,4.65031,4.68266,245.83626554506117
2005-10-23,4.68925,4.75305,4.59153,4.66626,247.5297525339693
2005-10-30,4.6661,4.75612,4.62313,4.7283,244.2902785362578
2005-11-06,4.72544,4.73031,4.54577,4.55864,241.4146365278788
2005-11-13,4.56769,4.69903,4.55544,4.68046,238.0219705169844
2005-11-20,4.68513,4.88687,4.65604,4.8564,239.6625785027149
2005-11-27,4.85526,4.96807,4.83706,4.95593,229.51665151825915
2005-12-04,4.95324,5.06577,4.89675,5.0457,257.5045295523483
2005-12-11,5.03445,5.3068,5.03088,5.25102,255.86874154945295
2005-12-18,5.26261,5.40636,4.92516,5.02493,264.7847385803153
2005-12-25,5.02048,5.09024,4.89007,5.02594,248.9451765387048
2006-01-01,5.02297,5.17833,5.01773,5.15664,217.3375244611131
2006-01-01,5.16144,5.16197,5.15435,5.16158,1.1942190029930293
2006-01-08,5.15857,5.40011,5.15305,5.3878,210.29126845630617
2006-01-15,5.38826,5.57572,5.34953,5.55343,207.6082774710659
