timestamp,open,high,low,close,volume
2003-05-31,3.40551,3.744,3.39282,3.63995,287.22558758511985
2003-06-30,3.62658,3.685,3.42042,3.4489,258.3265575582569
2003-07-31,3.44878,3.51261,3.44617,3.50843,13.12475302570906
2005-01-31,4.37634,4.38033,4.16244,4.21602,653.4138254362243
2005-02-28,4.21876,4.37353,4.09896,4.35287,673.7923494682365
2005-03-31,4.35222,4.46763,4.22656,4.27516,767.0004406759413
2005-04-30,4.27511,4.37406,4.21555,4.32881,758.453381650397
2005-05-31,4.3439,4.35727,4.1291,4.16349,828.9482407758669
2005-06-30,4.16184,4.43508,4.13681,4.34643,938.9140300396921
2005-07-31,4.34539,4.36337,4.17247,4.28734,911.2438019942197
2005-08-31,4.28879,4.49618,4.28122,4.34182,1070.0284372982771
2005-09-30,4.34304,4.75262,4.33908,4.68598,1071.1890553234493
2005-10-31,4.6975,4.80293,4.59153,4.6511,1033.3343932699554
2005-11-30,4.65254,5.02411,4.54577,4.91525,1057.317349294599
2005-12-31,4.91473,5.40636,4.89007,5.15664,1086.8618683457719
2006-01-31,5.16144,5.72476,5.15305,5.68933,1007.145313207547
2006-02-28,5.68569,5.7488,5.341,5.6219,1008.0601241962688
2006-03-31,5.61417,5.8952,5.33722,5.8323,1158.49505457021
2006-04-30,5.8289,6.5561,5.81383,6.5206,1025.3020112503905
2006-05-31,6.52713,7.3023,6.34926,6.44635,1204.5970525985842
2006-06-30,6.44624,6.4547,5.42462,6.15051,1139.9102974744724
2006-07-31,6.13633,6.76018,6.01672,6.36332,1073.650549346965
2006-08-31,6.36371,6.56153,6.06762,6.26467,1208.1270866112202
2006-09-30,6.26646,6.40578,5.70179,5.97336,1079.4170263865474
2006-10-31,5.97544,6.10365,5.59199,6.06119,1143.9463244864876
2006-11-30,6.05919,6.48782,6.04917,6.47107,1143.0051994987036
2006-12-31,6.47093,6.49898,6.11361,6.36034,1067.909295352286
2007-01-31,6.35885,6.5485,6.01844,6.52079,1194.4451635855044
2007-02-28,6.5235,6.8861,6.42411,6.73563,1028.0852462023834
2007-03-31,6.73581,6.7746,6.32086,6.6351,955.3498270863437
2007-04-30,6.6311,6.939,6.56152,6.78762,239.16065454487685
2007-05-31,6.7838,6.9071,6.5125,6.603,254.96373355683033
2007-06-30,6.605,6.73767,6.3865,6.4941,231.2901074919101
2007-07-31,6.4892,6.8725,6.448,6.637,245.25318053719946
2007-08-31,6.637,6.7685,6.42,6.73013,272.4567855920413
2007-09-30,6.726,7.45569,6.70851,7.43239,249.13796053840915
2007-10-31,7.4327,7.98616,7.2055,7.97523,304.0283856611239
2007-11-30,7.97847,8.4547,7.72732,7.834,303.5254126838029
2007-12-31,7.8339,8.4305,7.76912,8.333,282.87839562305123
2008-01-31,8.333,9.36531,8.33177,9.24279,327.7317997206456
2008-02-29,9.242,9.75917,8.84623,9.735,311.63669066737015
2008-03-31,9.737,10.32066,9.04505,9.18657,308.1531726701251
2008-04-30,9.18765,9.52837,8.62434,8.74678,300.69641965268096
2008-05-31,8.75075,9.35141,8.46852,8.8572,307.2602156795866
2008-06-30,8.859,9.35045,8.575,9.25779,306.52869265483434
2008-07-31,9.26088,9.87715,8.9371,9.12423,340.183259727169
2008-08-31,9.12237,9.16659,7.76585,8.3262,318.6632536996035
2008-09-30,8.33725,9.22567,7.36319,8.70492,337.77990375730815
2008-10-31,8.70768,9.30125,6.82277,7.23739,360.4174068010428
2008-11-30,7.24414,8.29299,6.99922,8.16056,322.0690197173238
2008-12-31,8.15646,8.90246,7.41208,8.80143,371.6342627897701
2009-01-31,8.8016,9.2904,8.02106,9.26281,315.0474756896126
2009-02-28,9.27,10.04919,8.8945,9.42027,297.6012826336033
2009-03-31,9.399,9.66705,8.83495,9.1849,335.5704477431942
2009-04-30,9.18932,9.3264,8.64607,8.86011,338.9954177433796
2009-05-31,8.85847,9.79856,8.79892,9.76328,333.8368507261873
2009-06-30,9.76274,9.89539,9.13508,9.28887,359.8942077621608
2009-07-31,9.29343,9.58687,9.04666,9.535,373.6831148033804
2009-08-31,9.53786,9.71562,9.30129,9.51898,351.35359576565304
2009-09-30,9.51894,10.23802,9.46125,10.07531,379.1409728205876
2009-10-31,10.07539,10.70198,9.87496,10.44933,387.1724768553941
2009-11-30,10.444,11.94902,10.4025,11.79491,383.8526568329263
2009-12-31,11.79052,12.26122,10.74425,10.96345,431.96024692670625
2010-01-31,10.96341,11.61204,10.74385,10.83546,696.1198105244732
2010-02-28,10.83334,11.30561,10.44933,11.17239,709.0396655574982
2010-03-31,11.17311,11.44884,10.84993,11.12421,845.6931978181024
2010-04-30,11.12372,11.81483,11.11384,11.78821,947.0751880603516
2010-05-31,11.7825,12.48976,11.57708,12.16318,952.8296130614735
2010-06-30,12.1618,12.6453,11.96807,12.41281,1095.9999523818315
2010-07-31,12.41364,12.43681,11.57131,11.80659,1279.2548487896163
2010-08-31,11.8145,12.49722,11.74495,12.47825,1428.202881135838
2010-09-30,12.47793,13.15457,12.36774,13.06987,1634.6948615767137
2010-10-31,13.06828,13.86617,13.06749,13.62942,1744.745931842335
2010-11-30,13.62927,14.24192,13.25762,13.84425,1553.7562484376936
2010-12-31,13.83638,14.31107,13.62148,14.19231,901.2036289461201
2011-01-31,14.1945,14.24027,13.085445,13.32783,960.8600020875941
2011-02-28,13.327635,14.1837,13.25478,14.10912,782.1192417175859
2011-03-31,14.10912,14.47832,13.82934,14.3239,1179.7499135793241
2011-04-30,14.32449,15.6955,14.13338,15.635,950.5088041141912
2011-05-31,15.6365,15.7699,14.62665,15.35437,1508.6334443109656
2011-06-30,15.35487,15.58213,14.91167,15.0147,1217.3389926538875
2011-07-31,15.01505,16.32669,14.78204,16.15404,1164.7621945585765
2011-08-31,16.154635,19.11967,16.09125,18.2746,2347.1118392141425
2011-09-30,18.273935,19.209365,15.36225,16.23886,2368.411408216042
2011-10-31,16.23152,17.52605,15.96056,17.144785,1865.4512580748067
2011-11-30,17.14429,18.030685,16.66745,17.48494,1909.597370172967
2011-12-31,17.48536,17.60858,15.22886,15.64845,1764.0925990658207
2012-01-31,15.69575,17.478,15.667735,17.35824,1263.4129801522718
2012-02-29,17.35947,17.908045,16.871015,17.02666,1210.6197623360372
2012-03-31,17.02685,17.25958,16.281975,16.681,1368.8716433403583
2012-04-30,16.7152,16.83602,16.124975,16.66989,1299.6495856664594
2012-05-31,16.670085,16.716555,15.271065,15.608605,1637.8121426807816
2012-06-30,15.6086,16.411455,15.45006,15.976,1725.839682119276
2012-07-31,15.993,16.29633,15.550975,16.13308,1740.942351336902
