open_time,close_time,Symbol,action,lots,SL,TP,entry_price,exit_price,pips,profit,Duration (DDHHMMSS),Change %,trade_id,M5_candle_idx,M5_candle_time,M15_candle_idx,M15_candle_time,H1_candle_idx,H1_candle_time,H4_candle_idx,H4_candle_time,D1_candle_idx,D1_candle_time
2026-03-10 08:24:00,2026-03-10 08:31:00,XAUUSD,Buy,100.0,5169.3,0.0,5160.22,5169.3,908.0,90350.0,00:00:07:00,1.6,0,361070.0,2026-03-10 08:20:00,120566.0,2026-03-10 08:15:00,30160.0,2026-03-10 08:00:00,7762.0,2026-03-10 08:00:00,1497.0,2026-03-10
2026-03-09 17:18:00,2026-03-09 17:19:00,XAUUSD,Buy,100.0,5096.41,0.0,5097.91,5096.41,-150.0,-15450.0,00:00:01:00,-0.27,1,360904.0,2026-03-09 17:15:00,120510.0,2026-03-09 17:15:00,30146.0,2026-03-09 17:00:00,7758.0,2026-03-09 16:00:00,1496.0,2026-03-09
2026-03-09 13:56:00,2026-03-09 13:57:00,XAUUSD,Buy,100.0,5096.5,0.0,5095.81,5096.5,69.0,6450.0,00:00:01:00,0.11,2,360864.0,2026-03-09 13:55:00,120496.0,2026-03-09 13:45:00,30142.0,2026-03-09 13:00:00,7757.0,2026-03-09 12:00:00,1496.0,2026-03-09
2026-03-09 10:46:00,2026-03-09 10:48:00,XAUUSD,Buy,100.0,5104.2,0.0,5098.61,5104.2,559.0,55450.0,00:00:02:00,0.99,3,360826.0,2026-03-09 10:45:00,120484.0,2026-03-09 10:45:00,30139.0,2026-03-09 10:00:00,7756.0,2026-03-09 08:00:00,1496.0,2026-03-09
2026-03-09 10:45:00,2026-03-09 10:45:00,XAUUSD,Buy,100.0,5103.07,0.0,5104.57,5103.07,-150.0,-15450.0,00:00:00:00,-0.28,4,360826.0,2026-03-09 10:45:00,120484.0,2026-03-09 10:45:00,30139.0,2026-03-09 10:00:00,7756.0,2026-03-09 08:00:00,1496.0,2026-03-09
2026-03-09 09:24:00,2026-03-09 09:25:00,XAUUSD,Buy,100.0,5097.9,0.0,5096.51,5097.9,139.0,13450.0,00:00:01:00,0.24,5,360809.0,2026-03-09 09:20:00,120478.0,2026-03-09 09:15:00,30138.0,2026-03-09 09:00:00,7756.0,2026-03-09 08:00:00,1496.0,2026-03-09
2026-03-09 06:58:00,2026-03-09 06:59:00,XAUUSD,Buy,100.0,5124.5,0.0,5121.71,5124.5,279.0,27450.0,00:00:01:00,0.49,6,360780.0,2026-03-09 06:55:00,120468.0,2026-03-09 06:45:00,30135.0,2026-03-09 06:00:00,7755.0,2026-03-09 04:00:00,1496.0,2026-03-09
2026-03-09 01:48:00,2026-03-09 01:49:00,XAUUSD,Buy,100.0,5045.4,0.0,5035.6,5045.4,980.0,97550.0,00:00:01:00,1.78,7,360718.0,2026-03-09 01:45:00,120448.0,2026-03-09 01:45:00,30130.0,2026-03-09 01:00:00,7754.0,2026-03-09 00:00:00,1496.0,2026-03-09
2026-03-08 23:42:00,2026-03-08 23:43:00,XAUUSD,Buy,100.0,5124.5,0.0,5117.51,5124.5,699.0,69450.0,00:00:01:00,1.28,8,,,,,,,,,,
2026-03-06 16:24:00,2026-03-06 16:25:00,XAUUSD,Buy,100.0,5139.11,0.0,5140.61,5139.11,-150.0,-15450.0,00:00:01:00,-0.28,9,360608.0,2026-03-06 16:20:00,120410.0,2026-03-06 16:15:00,30121.0,2026-03-06 16:00:00,7752.0,2026-03-06 16:00:00,1495.0,2026-03-06
