feature,importance
H1_candle_range,0.02508357464206821
H1_keltner_width,0.02269991787037729
H1_bb_20_3_width,0.019805877053403937
H1_adx_28,0.017907938768506656
H1_distance_from_high,0.01734443506345083
H1_bb_20_2_width,0.017032750502849987
H1_kst_signal,0.015827415228545593
H1_bb_50_2_width,0.015607357288917012
H1_adx_21,0.015455801427537677
H1_candle_body,0.014534684653074711
H1_vpt,0.014109618798355173
H1_upper_shadow,0.012603500385752614
H1_sma_200_distance,0.012274713832180855
H1_volume_ratio_20,0.012088085832845713
H1_dpo,0.012066028901515665
H1_std_dev_20,0.011831965356448254
H1_mass_index,0.011779933311247036
H1_distance_to_fib_786,0.01177311598920056
H1_atr_14,0.011764002818662873
H1_distance_to_fib_500,0.011681899179642524
H1_body_to_range_ratio,0.011587706217468508
H1_std_dev_50,0.011369967404348926
H1_volume_change,0.011362861325462876
H1_vwap,0.011192310278099771
H1_kst,0.011136406680199117
H1_bull_power,0.011003208595280907
H1_cmf,0.010485989057173224
H1_atr_7,0.010196768381870955
H1_macd_fast_signal,0.010149491963111384
H1_roc_1,0.010035254099153238
H1_distance_to_fib_618,0.010028483535893582
H1_distance_to_fib_382,0.009927947103012275
H1_lower_shadow,0.009850413622036636
H1_day_of_month,0.009699818323673065
H1_roc_5,0.009667258970408113
H1_ultimate_oscillator,0.009520845847830507
H1_macd_std_signal,0.009479324092976419
H1_mfi,0.009411557315794405
H1_atr_100,0.009390886084716344
H1_awesome_oscillator,0.009203346148010312
H1_atr_28,0.009164544544699865
H1_ema_100_distance,0.00911070391733759
H1_stoch_14_k,0.00904222735678622
H1_williams_r_14,0.009017717256316685
H1_position_in_swing_range,0.008988965528021909
H1_ema_200_distance,0.008827208918952131
H1_stoch_21_d,0.008746713255814186
H1_aroon_indicator,0.008658758041266548
H1_roc_50,0.008595500026358793
H1_distance_to_swing_high,0.008589166311693982
H1_atr_50,0.008373397231227785
H1_stoch_21_k,0.008365304411051868
H1_distance_to_fib_236,0.008306900356239273
H1_close_position_in_range,0.008142502786038605
H1_ema_9_distance,0.008092715094192222
H1_rsi_50,0.008056573412893427
H1_williams_r_28,0.007808680802542466
H1_atr_21,0.007749816230185985
H1_roc_20,0.00773189819231808
H1_macd_std,0.007650461504998828
H1_cci_20,0.007575586187674505
H1_macd_fast_diff,0.007514676830100919
H1_adx_14,0.0074325410734760716
H1_rsi_7,0.007114282168626732
H1_macd_std_diff,0.007038403258978415
H1_distance_to_swing_low,0.006963070842582798
H1_cci_50,0.006925584015323663
H1_bear_power,0.006838297565300576
H1_sma_50_distance,0.0066669492238204215
H1_rsi_14,0.0066292169912765715
H1_aroon_up,0.0064391758967916116
H1_rsi_21,0.006382432349747574
H1_stoch_14_d,0.00632442761414035
H1_rsi_28,0.00606820724994557
H1_sma_20_distance,0.005992320081522196
H1_minus_di,0.005957818072501519
H1_obv,0.005927198612629012
H1_hour_of_day,0.005817692566829148
H1_roc_10,0.0057988564103914715
H1_plus_di,0.005724120857096915
H1_bb_20_3_upper,0.005682173260480285
H1_aroon_down,0.005534256553600795
H1_ema_50_distance,0.005500732027610084
H1_ema_20_distance,0.0052979353939627384
H1_cci_14,0.0052756302320068095
open_hour_cos,0.0052106175373524905
H1_tsi,0.004898043799493266
H1_supertrend_upper,0.0048613290449420156
H1_resistance_2,0.0048328214540091985
H1_vwap_distance,0.004589128303817904
H1_macd_fast,0.004569292500643574
close_hour,0.004532325901866926
H1_swing_low_50,0.004506299421892159
close_hour_cos,0.0044823198310955485
H1_support_1,0.004408841106756998
H1_keltner_lower,0.004280878856180626
H1_pivot_point,0.0041939583127928795
open_hour,0.004172020942014941
H1_psar,0.004138887997488206
H1_supertrend_lower,0.004134934197218026
hour_of_day,0.004084540635540584
H1_ichimoku_base,0.003739567958668166
H1_donchian_middle,0.0037148526912794185
H1_support_3,0.003703888637923969
H1_resistance_3,0.0036044567072472055
H1_bb_20_2_upper,0.0035977183388205534
close_hour_sin,0.003581472578914124
H1_support_2,0.0034272044009433463
H1_bb_20_2_lower,0.003397851723366743
H1_resistance_1,0.003353529871066066
H1_ichimoku_a,0.0033372059741042545
open_dow_sin,0.00324966305751002
H1_swing_high_50,0.003223190616047854
H1_donchian_lower,0.0032155410713681394
H1_ichimoku_b,0.0031538749473534553
open_hour_sin,0.0031227470945183696
H1_ichimoku_conversion,0.003091688351123816
H1_donchian_upper,0.00298084266751921
H1_keltner_upper,0.0029534167580714077
open_dow_cos,0.0029433649356864072
H1_bb_20_3_lower,0.0028860353455637897
close_dow_sin,0.0026177158335158146
close_month,0.0026129358460657928
open_month,0.0025031259676084206
day_of_week,0.0024700051945859237
close_dow,0.0024092344078066397
close_dow_cos,0.0021579933944189584
open_dow,0.0021419311163717487
H1_day_of_week,0.001997520938994187
H1_is_bullish,0.0015486510854626552
H1_is_asian_session,0.0011968038870581138
H1_ema_9_above_20,0.000976341173763328
H1_ema_50_above_200,0.000889233283479026
H1_is_london_session,0.0007634105533570102
H1_is_ny_session,0.000738653763622507
H1_psar_signal,0.0005984880683307141
H1_ema_9_above_200,0.00050564344790243
H1_ema_20_above_50,0.0002841560009981154
trade_direction,0.0
H1_is_weekend,0.0
H1_price_above_cloud,0.0
