feature,importance
H1_bb_20_3_width,0.01451812546055045
M15_volume_change,0.014023470189773285
H1_candle_range,0.013896571174304012
H1_keltner_width,0.01359083373101674
H1_bb_20_2_width,0.012025257696391877
M15_atr_7,0.011022158601566688
H1_adx_28,0.00917066373393692
H1_bb_50_2_width,0.009151797568368323
M15_cmf,0.009099365858898251
H1_atr_7,0.00883436749887194
M15_upper_shadow,0.008677631040216627
H1_kst_signal,0.008549634848834274
M15_volume_ratio_20,0.008525399268257634
M15_body_to_range_ratio,0.008392533286242714
M15_vpt,0.00827131524756643
H1_vpt,0.008099205407351987
H1_candle_body,0.007974262011217767
M15_ultimate_oscillator,0.007880412122084264
H1_adx_21,0.007837233417272223
H1_sma_200_distance,0.007777256785972787
H1_distance_from_high,0.007694887816540533
M15_atr_14,0.007582452832131949
M15_candle_range,0.007492735328441929
M15_bb_20_3_width,0.007252957532222815
M15_std_dev_20,0.00718589010057899
M15_distance_to_fib_500,0.0071829761380296795
H1_std_dev_50,0.007065776903414004
M15_atr_21,0.0069874622747072915
H1_dpo,0.006970194483830603
H1_distance_to_fib_500,0.0066731468280945856
M15_distance_to_fib_382,0.006596131960888531
M15_distance_to_swing_low,0.006569405046130816
M15_bull_power,0.006490092330695224
H1_mass_index,0.006457497367215966
M15_plus_di,0.00638668306464227
H1_volume_ratio_20,0.006372707570110171
M15_atr_50,0.006336244635592087
M15_adx_21,0.006303684312352515
H1_roc_1,0.006295287713058567
H1_volume_change,0.006271535899889648
H1_williams_r_14,0.006165775328258307
M15_macd_fast_diff,0.006153819746942323
H1_std_dev_20,0.006106594985238167
M15_std_dev_50,0.006042431035492696
H1_body_to_range_ratio,0.006027831027869057
H1_mfi,0.005955060888204008
H1_adx_14,0.0059117390409236
M15_atr_28,0.005891166602796281
M15_lower_shadow,0.0058327452557665116
M15_adx_28,0.00578144733958202
M15_bear_power,0.0057635286804532835
H1_atr_100,0.005655581036129509
M15_mass_index,0.005581485893642172
H1_day_of_month,0.005568889560902381
M15_obv,0.005491921273293256
H1_awesome_oscillator,0.005462152497876036
H1_distance_to_fib_236,0.0054239627207917475
H1_atr_14,0.005382820572881239
M15_stoch_21_d,0.005369567191514667
H1_distance_to_fib_382,0.005336854832129761
H1_distance_to_fib_618,0.005327966178111091
M15_bb_20_2_width,0.00522745428790075
M15_adx_14,0.005223339209160006
H1_rsi_50,0.005200572288969598
H1_roc_5,0.005197084531140778
M15_mfi,0.00517953226302784
H1_macd_fast_signal,0.005163997374150505
M15_minus_di,0.0051601715869800426
M15_atr_100,0.005146610593501074
M15_distance_from_high,0.005146101407911752
H1_macd_std_signal,0.0050906635305182895
H1_distance_to_swing_high,0.005086959467807568
M15_distance_to_fib_236,0.005068028792904666
H1_ema_200_distance,0.005064716174006479
M15_stoch_14_d,0.005054130850833081
H1_stoch_14_k,0.004999583744704049
H1_kst,0.004937148247248145
H1_bull_power,0.004917491453432623
H1_ema_100_distance,0.004907426471756048
M15_macd_std_diff,0.004894382500264762
H1_roc_50,0.004848492154426425
H1_close_position_in_range,0.00482740778491366
M15_macd_fast,0.004819497517996963
M15_keltner_width,0.004798840362386242
H1_macd_std,0.004760782350407158
M15_vwap,0.004756266058548531
H1_cmf,0.004728675790115103
H1_atr_21,0.004727474056387885
H1_lower_shadow,0.0047221416875135105
H1_atr_50,0.004683948349345196
M15_cci_14,0.004670444660486105
M15_macd_fast_signal,0.00466187609917574
H1_sma_50_distance,0.004652238207590925
H1_atr_28,0.004610281453478125
H1_upper_shadow,0.00455655389682995
M15_candle_body,0.004550498255087062
M15_sma_20_distance,0.0044156864625619725
H1_tsi,0.004414266299593637
H1_ultimate_oscillator,0.004394095945858503
M15_tsi,0.004344448573873303
H1_stoch_14_d,0.004321758610882682
M15_roc_20,0.004222341704213902
M15_distance_to_fib_618,0.004194488344136554
H1_stoch_21_k,0.0041672675789472076
M15_distance_to_swing_high,0.004165862139733904
M15_roc_5,0.004122394686192433
H1_stoch_21_d,0.004109371719409874
H1_cci_20,0.004103370173719521
M15_roc_1,0.004028960916182608
H1_obv,0.003989201141174109
H1_ema_50_distance,0.00393665290998557
M15_bb_50_2_width,0.003931392232962355
H1_distance_to_fib_786,0.0039253534765758364
H1_roc_20,0.003892764890443531
M15_sma_50_distance,0.0038899981829832097
M15_aroon_indicator,0.0038899774326260394
H1_distance_to_swing_low,0.0038633209447310763
M15_close_position_in_range,0.0038550511452376964
M15_rsi_14,0.003843876117818015
M15_dpo,0.003828312582525371
H1_cci_14,0.003696255344072413
M15_williams_r_14,0.00369451715166043
M15_rsi_50,0.0036742368374238564
M15_awesome_oscillator,0.003651047406618203
H1_position_in_swing_range,0.003596802094751248
H1_williams_r_28,0.003560648068017908
M15_aroon_down,0.0035460219619569996
H1_roc_10,0.003536881208687375
M15_roc_10,0.003518686333610498
H1_macd_std_diff,0.0034923453064221004
H1_rsi_14,0.003487903600368061
H1_vwap,0.003477616078634262
M15_macd_std,0.003467188850777837
M15_ema_100_distance,0.0034443144685945256
M15_cci_50,0.0034012183798876835
M15_rsi_21,0.0033936340254485235
M15_ema_200_distance,0.0033780555759591944
M15_williams_r_28,0.003310996301166334
H1_aroon_up,0.003287892588893912
M15_cci_20,0.0032665108593840715
H1_sma_20_distance,0.003250377845407446
H1_macd_fast_diff,0.00320668785502868
M15_position_in_swing_range,0.0031833636636704734
H1_rsi_28,0.0031580729827552297
M15_vwap_distance,0.0031560025683965718
H1_rsi_7,0.0031037453642431263
M15_sma_200_distance,0.0030819471316070554
M15_day_of_month,0.0030811626322661463
H1_vwap_distance,0.00304049504941128
H1_ema_9_distance,0.003023392088838484
H1_cci_50,0.002999300172080872
M15_ema_9_distance,0.0029575806304095913
M15_ema_20_distance,0.0029567703068657013
H1_hour_of_day,0.0029332169170300636
H1_bear_power,0.0029203134530604584
H1_plus_di,0.0029083603037963076
H1_minus_di,0.002869911729626134
H1_ema_20_distance,0.002791848858804877
M15_roc_50,0.002770754713853772
M15_rsi_7,0.0027130873627159813
H1_psar,0.0026459991244864624
H1_macd_fast,0.0026146754846316346
M15_ema_50_distance,0.0025948755794680924
M15_distance_to_fib_786,0.0025821254138252395
M15_stoch_21_k,0.0025816018437560925
M15_kst,0.0025647097185953595
close_month,0.002561247720049127
M15_macd_std_signal,0.0025328739125062977
H1_aroon_indicator,0.0024533155314127816
open_hour_cos,0.0024400925048494834
M15_stoch_14_k,0.002410557812426582
M15_rsi_28,0.002346234689908354
H1_ichimoku_b,0.002338078456814168
open_hour,0.002328142248488287
M15_aroon_up,0.0022944993334170945
close_hour_cos,0.0022909129042468063
H1_bb_20_3_lower,0.002232195450430092
H1_resistance_2,0.00216472142235148
H1_ichimoku_base,0.002122087430313882
H1_rsi_21,0.002100487913386663
M15_swing_high_50,0.0020771815347413974
H1_swing_low_50,0.0020264436525110783
M15_pivot_point,0.002015876889293317
M15_support_2,0.0020133626782495163
M15_support_3,0.0020068194237448217
M15_psar,0.0019971919611596815
hour_of_day,0.0019671888853846436
M15_donchian_upper,0.0019545863562626187
close_hour,0.00195453158380753
H1_aroon_down,0.001954266823710206
M15_ichimoku_base,0.0019400323417016003
close_dow_sin,0.0019277797939156423
H1_support_3,0.0019250940885537908
M15_keltner_upper,0.00189392960910026
M15_hour_of_day,0.0018200695475145392
H1_resistance_3,0.0018112780853222277
H1_donchian_middle,0.001765452643803952
open_hour_sin,0.0017483871652320196
close_hour_sin,0.001723037379687488
M15_donchian_lower,0.0017134514226014796
M15_ichimoku_b,0.0016707929844102431
M15_resistance_2,0.001635224714009862
M15_supertrend_lower,0.0016203225063305818
H1_donchian_lower,0.0016186784084778047
H1_support_1,0.001576645845287757
open_dow_cos,0.001576302372011818
H1_supertrend_lower,0.0015552565509818494
M15_bb_20_3_upper,0.0015479281383236317
M15_keltner_lower,0.001545727276681835
M15_ichimoku_conversion,0.001542188858410603
M15_bb_20_3_lower,0.001529174015680534
H1_keltner_lower,0.001465533431335384
M15_swing_low_50,0.001463559385081798
M15_kst_signal,0.0014532584995212811
H1_ichimoku_conversion,0.0014403118984831773
M15_support_1,0.0014354396758885608
open_month,0.001421969970422548
H1_resistance_1,0.0014015479763388997
M15_bb_20_2_upper,0.0013876308237807695
M15_supertrend_upper,0.0013846576775745564
M15_resistance_1,0.0013767127897400804
close_dow,0.0013610979914625572
M15_ichimoku_a,0.0013365044837938245
M15_day_of_week,0.0012749341082703087
M15_donchian_middle,0.001248845231621537
H1_ichimoku_a,0.0012402203862478818
H1_bb_20_2_lower,0.0012262342693406996
H1_swing_high_50,0.0012217476274673596
H1_bb_20_3_upper,0.0012191981434951165
H1_supertrend_upper,0.0011698663050431466
H1_keltner_upper,0.001159181188958798
open_dow_sin,0.0011518518728849364
H1_support_2,0.0011367864886648446
M15_resistance_3,0.0011310301899679924
H1_bb_20_2_upper,0.0011138469411793156
day_of_week,0.0011124365704951512
close_dow_cos,0.0010177685364800488
H1_donchian_upper,0.0009856389680841663
H1_day_of_week,0.0008530889378615772
M15_bb_20_2_lower,0.0007708171175108823
H1_is_asian_session,0.0005857999343639623
open_dow,0.0005550202930666747
M15_is_asian_session,0.0005540243953975756
M15_psar_signal,0.0005192249198622299
H1_pivot_point,0.0004946190289964609
H1_is_london_session,0.00043275875247384354
M15_is_bullish,0.00037173043240938685
H1_ema_20_above_50,0.0003594667358938133
M15_price_above_cloud,0.00035067369989906836
M15_is_ny_session,0.0003098383423039993
M15_is_london_session,0.0002919553639618997
H1_psar_signal,0.00028636174022988076
H1_is_bullish,0.00028348879472926046
H1_ema_9_above_200,0.0002507961018486667
H1_price_above_cloud,0.00022701464925327987
M15_ema_50_above_200,0.00021030446232683553
H1_is_ny_session,0.00017553974144043634
H1_ema_50_above_200,0.00013217310132531768
H1_ema_9_above_20,0.00010231470292248989
M15_ema_9_above_20,5.132149994849759e-05
M15_ema_20_above_50,2.9332899211568138e-05
M15_ema_9_above_200,1.210636732863326e-05
trade_direction,0.0
M15_is_weekend,0.0
H1_is_weekend,0.0
