feature,mean_abs_shap
H1_candle_range,0.008185545532318676
M15_atr_7,0.0045115283108088525
H1_candle_body,0.004162379922489535
H1_kst_signal,0.0038643399587453627
H1_keltner_width,0.0038514070005652885
H1_bb_20_3_width,0.0038219745560459147
M15_volume_change,0.0035069817186896023
M15_upper_shadow,0.0034001213094138464
H1_volume_change,0.0033642513868690784
H1_bb_50_2_width,0.0033485100278200642
H1_atr_100,0.0032841719164784016
H1_distance_from_high,0.0032612179547743636
H1_sma_200_distance,0.0030616616646121767
M15_atr_21,0.0027689600238157506
M15_atr_14,0.0027236081200761224
H1_atr_28,0.002715369509301323
M15_support_3,0.00262217112619609
H1_bb_20_2_width,0.002603004502146212
H1_adx_28,0.002527986270452381
M15_bull_power,0.002449272577014468
M15_std_dev_20,0.0023563193928576843
M15_macd_fast_diff,0.002344679486843115
M15_bb_20_3_width,0.002333309389600363
H1_day_of_month,0.0022524248397571
M15_body_to_range_ratio,0.0022090825044690037
H1_atr_21,0.002169607418124245
M15_atr_50,0.0021603849220585927
H1_atr_14,0.002148984832289279
H1_atr_7,0.00207060886880139
M15_obv,0.0020284725094175836
M15_volume_ratio_20,0.001958431009836586
M15_swing_low_50,0.001946802177942774
H1_body_to_range_ratio,0.001941782129049835
H1_std_dev_50,0.0019411037336198261
M15_bear_power,0.0018849908986120344
H1_awesome_oscillator,0.0018828632110113297
H1_vwap_distance,0.0018580585291673667
M15_swing_high_50,0.001842390374814838
H1_obv,0.0018368317295933967
M15_std_dev_50,0.001829587220301166
M15_candle_range,0.0018168170523553218
H1_psar,0.00176737236473303
M15_distance_to_fib_382,0.0017587150276166016
M15_atr_28,0.0017043023470956252
M15_supertrend_lower,0.0016843547264695597
M15_plus_di,0.0016275405795683263
H1_kst,0.0016178393652678056
M15_support_1,0.0016117485211756338
H1_roc_50,0.0015992943749780992
M15_stoch_21_d,0.0015745870346784354
H1_roc_5,0.0015563903347433608
M15_distance_to_swing_high,0.001516677702611209
M15_candle_body,0.00151161807292635
M15_aroon_down,0.0014664869394897626
M15_distance_to_fib_236,0.0014429312841568484
H1_mass_index,0.001441337649568829
M15_vwap,0.0014384882853224806
H1_atr_50,0.001412078727963475
H1_roc_1,0.0014049354197285735
M15_distance_to_swing_low,0.0013880930243805178
M15_macd_fast,0.0013632463558494368
H1_macd_std_signal,0.0013608890304310278
M15_pivot_point,0.0013567238826861121
M15_support_2,0.0013414841119692017
H1_distance_to_fib_236,0.0013183340499340872
M15_donchian_lower,0.001318304500055225
M15_cci_14,0.001314337732829199
M15_atr_100,0.0013128720489169478
H1_distance_to_fib_382,0.0012909243432752623
H1_volume_ratio_20,0.0012904864730057402
M15_ichimoku_base,0.0012833569140787606
H1_std_dev_20,0.0012729630261424651
H1_supertrend_lower,0.0012669636493332164
M15_roc_5,0.0012637401801968646
H1_distance_to_fib_500,0.0012622048511798684
M15_ultimate_oscillator,0.0012603375966680922
M15_ichimoku_a,0.0012204049557770827
H1_ema_100_distance,0.0012067431076227277
H1_bull_power,0.001184544032942293
M15_dpo,0.0011844704664367301
M15_macd_std_diff,0.0011220598555753158
H1_lower_shadow,0.00111720575145027
H1_adx_21,0.001110222561689639
H1_macd_std,0.0011035593871309777
M15_bb_20_2_width,0.0011008829683840265
M15_day_of_month,0.001095486211523561
M15_adx_28,0.0010632787325105446
H1_ema_200_distance,0.0010179391735636205
H1_sma_50_distance,0.0009832917894405074
H1_ema_50_distance,0.0009813999054552767
H1_macd_fast_signal,0.0009566848142671596
H1_aroon_up,0.000954399690042663
M15_adx_21,0.0009140150146141665
H1_macd_fast_diff,0.0008913607074011687
H1_donchian_middle,0.0008898896507110723
M15_lower_shadow,0.0008894139920285851
H1_rsi_50,0.0008869871669523261
H1_stoch_21_k,0.0008801743798751763
H1_distance_to_swing_high,0.0008646471875489886
M15_ema_200_distance,0.000860171845639052
H1_williams_r_14,0.0008599888872957958
H1_dpo,0.0008533584645972149
H1_resistance_3,0.0008487232553419945
H1_adx_14,0.0008475246156494681
M15_psar,0.0008426544376334083
M15_minus_di,0.0008412852390627494
M15_vpt,0.0008334444195792895
M15_williams_r_14,0.0008304468416337103
M15_macd_fast_signal,0.0008197673762496476
H1_stoch_14_k,0.0008196531111515615
M15_cmf,0.0008091943014955647
H1_vwap,0.0008030030023475837
M15_mfi,0.000783014562077822
M15_ema_9_distance,0.0007416748128921079
H1_resistance_1,0.0007381533123473403
M15_awesome_oscillator,0.0007289958829136115
M15_resistance_1,0.0007261719609635731
M15_roc_1,0.0007224005136474295
M15_mass_index,0.000719879957651371
M15_bb_20_3_lower,0.0007021478103686499
H1_hour_of_day,0.0007005783960448531
M15_supertrend_upper,0.0007001709478129067
H1_mfi,0.0006916814620023991
M15_distance_to_fib_500,0.0006870124234925553
H1_cci_20,0.0006858431789575359
H1_vpt,0.0006740874909034669
H1_ema_9_distance,0.0006476485898190265
H1_distance_to_fib_786,0.0006450738174962977
M15_rsi_50,0.0006417617982169407
H1_bb_20_3_upper,0.0006406470545219506
H1_pivot_point,0.0006396830989137085
M15_sma_20_distance,0.0006316793573863706
M15_distance_from_high,0.0006292814093286768
M15_distance_to_fib_786,0.0006259621251063051
H1_resistance_2,0.0006208386609801649
M15_sma_200_distance,0.0006194420297452187
M15_macd_std,0.0006167116521939757
H1_macd_std_diff,0.0006129103185892553
M15_aroon_indicator,0.0006033766880604054
M15_tsi,0.0005975146676425474
M15_williams_r_28,0.0005947167772961091
H1_ultimate_oscillator,0.000588658001842051
H1_close_position_in_range,0.0005883379397667776
H1_upper_shadow,0.0005827817195287532
M15_keltner_lower,0.0005825509895452987
M15_position_in_swing_range,0.0005722907850619633
H1_roc_10,0.0005687522347621783
M15_ema_100_distance,0.0005683353198706573
H1_cci_14,0.00055654723018634
M15_keltner_width,0.0005531580192245983
H1_aroon_indicator,0.0005530980952637061
H1_bb_20_2_lower,0.000546658449221159
H1_ichimoku_b,0.000542923770442407
H1_minus_di,0.0005330971224309306
M15_adx_14,0.0005327335533751926
M15_cci_20,0.0005289908396732303
M15_roc_20,0.0005158008878039498
H1_tsi,0.0005145308904116745
M15_roc_50,0.0005133950311398847
M15_bb_20_2_upper,0.000512875561172132
H1_stoch_14_d,0.00051141359048497
H1_distance_to_swing_low,0.0005109070963623687
M15_hour_of_day,0.0005082404568291982
H1_bear_power,0.0005076177724215559
H1_distance_to_fib_618,0.0005038957198262631
H1_swing_low_50,0.0005031701821358888
M15_ema_20_distance,0.0004983907795547266
H1_rsi_14,0.0004956669431682444
M15_stoch_14_k,0.0004942452102605399
H1_ichimoku_base,0.0004926567527416737
H1_stoch_21_d,0.0004888618003719047
M15_close_position_in_range,0.0004750345571120905
M15_stoch_21_k,0.000472933058140936
H1_keltner_lower,0.0004723866069293475
M15_aroon_up,0.0004684716982175664
H1_rsi_7,0.00045764187343590325
H1_plus_di,0.00045264431942736616
M15_cci_50,0.00045155772174326617
H1_ichimoku_conversion,0.0004501315671780605
M15_distance_to_fib_618,0.0004407181676768007
H1_cmf,0.00043973299256042396
H1_position_in_swing_range,0.0004344922511688835
close_hour_cos,0.0004344847269601522
open_hour_cos,0.00043229686358876515
M15_roc_10,0.0004295990570957453
hour_of_day,0.0004265999985966637
H1_ema_20_distance,0.0004238616729560856
H1_support_3,0.00042317594729428455
M15_vwap_distance,0.00040784381871151944
M15_stoch_14_d,0.0004060881051393629
H1_rsi_28,0.0004038154981806625
M15_resistance_3,0.00040019573692798104
H1_sma_20_distance,0.0003996733398170058
close_month,0.0003990581934246858
H1_williams_r_28,0.00039395979542450056
open_dow_cos,0.00039276931646486
M15_rsi_7,0.00038595505713092076
H1_macd_fast,0.0003845402637415959
open_hour,0.0003830106726587991
M15_donchian_middle,0.00038006387062453127
M15_donchian_upper,0.0003785761706183302
H1_is_asian_session,0.00036756136772460296
H1_roc_20,0.0003646194188591815
H1_support_1,0.0003545747603567078
M15_bb_50_2_width,0.0003534927259478305
M15_rsi_14,0.000352624014814226
H1_donchian_lower,0.0003504541017102579
H1_aroon_down,0.00034882572635575287
M15_ema_50_distance,0.00034433022141310243
close_hour,0.0003315249714200337
M15_keltner_upper,0.00032875927747833786
M15_kst,0.00032507119264857013
M15_bb_20_3_upper,0.00032255961306714147
H1_bb_20_3_lower,0.0003194470025272091
M15_macd_std_signal,0.000317116063082809
H1_bb_20_2_upper,0.000313249799113215
M15_sma_50_distance,0.0003089635509064575
M15_ichimoku_b,0.00030222005082302956
M15_resistance_2,0.00029504821647602397
M15_rsi_28,0.00029290058080782205
M15_rsi_21,0.00028003823399599134
H1_swing_high_50,0.00027413635196686886
H1_support_2,0.0002715718137389338
H1_supertrend_upper,0.0002610916636483631
close_dow_sin,0.00025392553124749045
M15_kst_signal,0.00024960167076165706
H1_cci_50,0.0002468017979606589
close_dow_cos,0.0002444146222524389
H1_ichimoku_a,0.0002395574035265332
H1_rsi_21,0.0002292644051806072
open_month,0.0002258643810923717
open_hour_sin,0.00022407746444730992
M15_is_asian_session,0.00022353259326323167
close_hour_sin,0.0002158606303603159
H1_keltner_upper,0.0002152712010493005
open_dow_sin,0.0002135486952982777
M15_psar_signal,0.0002035264607410228
H1_day_of_week,0.0001906540498287251
M15_day_of_week,0.00018793649606652644
M15_bb_20_2_lower,0.00018229417763816947
M15_ichimoku_conversion,0.00017110795097067752
close_dow,0.000163004426051904
day_of_week,0.00015772439998869837
H1_ema_50_above_200,0.00015166573700076233
H1_donchian_upper,0.00014168797804509978
open_dow,0.00013795818684945419
H1_price_above_cloud,0.00011969239121857105
M15_price_above_cloud,9.997386974014596e-05
M15_is_ny_session,9.899133170099936e-05
M15_is_bullish,9.644631328073576e-05
H1_is_bullish,7.647951803058818e-05
M15_ema_9_above_20,7.364138057077899e-05
H1_is_london_session,7.332538766466931e-05
H1_is_ny_session,6.81220459699294e-05
M15_ema_50_above_200,6.134899146323503e-05
H1_ema_9_above_200,5.6298516552194345e-05
H1_ema_20_above_50,4.8092912536388345e-05
H1_psar_signal,4.606145079807589e-05
M15_is_london_session,4.12390613029674e-05
H1_ema_9_above_20,3.347084385756144e-05
M15_ema_20_above_50,9.279656645668946e-06
