feature,importance
M5_lower_shadow,0.022757619506419174
M5_std_dev_50,0.02009009099000836
M5_atr_14,0.019919869115458212
M5_atr_7,0.019828277916927994
M5_candle_range,0.019122647107857053
M5_std_dev_20,0.018611405734022018
M5_bb_50_2_width,0.016443002457659818
M5_volume_ratio_20,0.016122498597181522
M5_atr_28,0.016094901747083886
M5_vpt,0.014650298827098989
M5_keltner_width,0.013353166467296328
M5_obv,0.012424173368319111
M5_upper_shadow,0.011843957683514138
M5_bb_20_3_width,0.011746270099571042
M5_atr_21,0.011728672744685212
M5_distance_to_fib_382,0.011621977034914065
M5_distance_to_fib_500,0.01156890092401757
M5_adx_28,0.011467615246010051
M5_kst_signal,0.011319503951863413
M5_vwap,0.011174786530832821
M5_distance_from_high,0.010978677768825888
M5_macd_std_signal,0.010762847152525326
M5_atr_100,0.010651493520995394
M5_kst,0.01063327522462063
M5_bb_20_2_width,0.010445030610548902
M5_macd_fast_signal,0.010313843006930402
M5_distance_to_fib_618,0.010122413852604744
M5_minus_di,0.010119991216524668
M5_awesome_oscillator,0.01011342417962957
M5_body_to_range_ratio,0.009966151294056763
M5_atr_50,0.00985749196251069
M5_ema_200_distance,0.009846558851485835
M5_distance_to_swing_high,0.009790127483892967
M5_bear_power,0.009764346827495909
M5_adx_21,0.00974732777956272
M5_candle_body,0.009739689014064554
M5_volume_change,0.00973109240081585
M5_roc_10,0.009667979973671654
M5_sma_200_distance,0.00952052353306357
M5_bull_power,0.00949316101284257
M5_day_of_month,0.009363599328968093
M5_distance_to_fib_236,0.009318455160739803
M5_distance_to_fib_786,0.009097154184763012
M5_williams_r_28,0.008986479374373652
M5_mfi,0.008937005300106046
M5_dpo,0.008861602370560297
M5_plus_di,0.0084621057716307
M5_cmf,0.008381405508319652
M5_mass_index,0.008377654641632882
M5_distance_to_swing_low,0.008357217425971992
M5_macd_std_diff,0.008307480569450146
M5_macd_fast_diff,0.008242963034211952
M5_roc_5,0.008208511778943776
M5_sma_20_distance,0.008057482533728934
M5_tsi,0.00801939364540559
M5_macd_fast,0.007955757582652335
M5_stoch_21_d,0.007943058277356505
M5_vwap_distance,0.00793500007392627
M5_rsi_28,0.007727741856323465
M5_close_position_in_range,0.00764010897671821
M5_stoch_21_k,0.007586565845712028
M5_rsi_50,0.0075162272438828726
M5_roc_50,0.007514764654677971
M5_aroon_down,0.007397472765131864
M5_cci_50,0.007349858025802223
M5_roc_1,0.0072896533044332044
M5_roc_20,0.007258559866478817
M5_adx_14,0.007064635320149222
M5_cci_14,0.007039467655397908
M5_ema_100_distance,0.006995260968408227
M5_macd_std,0.00696870182434714
M5_rsi_14,0.006929231377964241
M5_ultimate_oscillator,0.006840341640226857
M5_ema_20_distance,0.006830891522553959
M5_rsi_21,0.006565907417560096
M5_ema_9_distance,0.006480506640673594
M5_stoch_14_d,0.006386646659709118
M5_cci_20,0.006362596868123012
M5_aroon_up,0.006347642281362212
M5_position_in_swing_range,0.006212126749496404
M5_aroon_indicator,0.0061792989572577684
M5_stoch_14_k,0.006146083154271656
M5_williams_r_14,0.006009329555952985
M5_support_2,0.005941621725016493
M5_sma_50_distance,0.005933670218399246
M5_rsi_7,0.005706163609543771
M5_support_1,0.005431898419072765
M5_ema_50_distance,0.005149696300284666
M5_bb_20_3_upper,0.00507482350730067
M5_support_3,0.00487003689638878
M5_donchian_upper,0.004793354958556798
M5_bb_20_3_lower,0.00449159068317443
open_hour_cos,0.0044567483078788795
M5_ichimoku_b,0.004364332624921421
open_month,0.004253117416505815
M5_resistance_1,0.004118599277572227
M5_ichimoku_base,0.004095551634862749
close_hour,0.004073365328463355
M5_swing_high_50,0.003972485495166397
M5_swing_low_50,0.0039617586393435895
M5_donchian_lower,0.0038243441826862883
M5_resistance_3,0.003811662229827834
M5_bb_20_2_upper,0.00379206329968118
hour_of_day,0.003772673736758328
M5_keltner_lower,0.0037645855867264166
M5_supertrend_upper,0.0037020167417402714
M5_bb_20_2_lower,0.0036978275716053038
open_hour,0.0036767330863210304
M5_pivot_point,0.0036692889825202875
M5_resistance_2,0.0034944454640541125
M5_ichimoku_a,0.0034498144505579684
M5_ichimoku_conversion,0.0034179852260421153
M5_supertrend_lower,0.0032885465676903446
open_hour_sin,0.0032566266040023363
close_hour_cos,0.0032416806325876292
M5_keltner_upper,0.003093352909215399
close_hour_sin,0.003089374661828846
M5_psar,0.0030416503548423885
close_month,0.002841421239619147
M5_donchian_middle,0.002771153139705516
open_dow_sin,0.0026989709577198446
M5_hour_of_day,0.0024432478476571597
close_dow_sin,0.002258266578690996
open_dow_cos,0.0022118286187108095
open_dow,0.002056113929946015
close_dow,0.001924524897653187
day_of_week,0.0019236011090499937
M5_day_of_week,0.001760098406646493
close_dow_cos,0.0014379114843102929
M5_is_london_session,0.0007699739011381675
M5_is_bullish,0.000502412491773545
M5_is_ny_session,0.0005008688467009282
M5_ema_9_above_200,0.0004393727825387688
M5_ema_50_above_200,0.0004252098614617752
M5_is_asian_session,0.00020037492407939586
M5_psar_signal,0.00017846549030825138
M5_ema_20_above_50,0.00017325030504931706
M5_ema_9_above_20,0.00010241544333417365
trade_direction,0.0
M5_is_weekend,0.0
M5_price_above_cloud,0.0
