open_time,close_time,symbol,action,lots,sl,tp,open_price,close_price,pips,profit,Duration (DD:HH:MM:SS),change_pct,trade_id,aligned_candle_idx,timestamp,aligned_candle_timestamp
2020-01-05 07:02:00+00:00,2020-01-05 07:14:00+00:00,XAUUSD,Buy,0.09,1674.9,0.0,1671.13,1674.9,377.0,33.52,00:00:12:00,2.41,1067,1092639,2020-01-03 21:55:00+00:00,2020-01-03 21:55:00+00:00
2020-01-09 15:02:00+00:00,2020-01-09 15:03:00+00:00,XAUUSD,Buy,0.14,1970.59,0.0,1972.1,1970.59,-151.0,-21.77,00:00:01:00,-1.07,1039,1093660,2020-01-09 15:00:00+00:00,2020-01-09 15:00:00+00:00
2020-02-04 02:02:00+00:00,2020-02-04 02:08:00+00:00,XAUUSD,Buy,0.09,1585.3,0.0,1584.34,1585.3,96.0,8.23,00:00:06:00,0.59,1076,1098424,2020-02-04 02:00:00+00:00,2020-02-04 02:00:00+00:00
2020-02-07 14:05:00+00:00,2020-02-07 14:15:00+00:00,XAUUSD,Buy,0.1,1764.5,0.0,1757.92,1764.5,658.0,65.35,00:00:10:00,4.52,1063,1099397,2020-02-07 14:05:00+00:00,2020-02-07 14:05:00+00:00
2020-02-10 03:57:00+00:00,2020-02-10 04:34:00+00:00,XAUUSD,Buy,0.14,1894.0,0.0,1893.01,1894.0,99.0,13.23,00:00:37:00,0.61,1026,1099551,2020-02-10 03:55:00+00:00,2020-02-10 03:55:00+00:00
2020-03-09 16:23:00+00:00,2020-03-09 16:29:00+00:00,XAUUSD,Buy,0.13,1925.5,0.0,1923.81,1925.5,169.0,21.38,00:00:06:00,1.06,1038,1105184,2020-03-09 16:20:00+00:00,2020-03-09 16:20:00+00:00
2020-04-03 06:18:00+00:00,2020-04-03 06:40:00+00:00,XAUUSD,Buy,0.08,1635.7,0.0,1633.96,1635.7,174.0,13.56,00:00:22:00,1.16,1092,1110307,2020-04-03 06:15:00+00:00,2020-04-03 06:15:00+00:00
2020-04-03 12:40:00+00:00,2020-04-03 13:07:00+00:00,XAUUSD,Buy,0.08,1641.3,0.0,1637.54,1641.3,376.0,29.72,00:00:27:00,2.5,1091,1110384,2020-04-03 12:40:00+00:00,2020-04-03 12:40:00+00:00
2020-04-11 01:25:00+00:00,2020-04-11 01:28:00+00:00,XAUUSD,Buy,0.15,1895.4,0.0,1892.29,1895.4,311.0,45.97,00:00:03:00,2.04,1023,1111587,2020-04-09 20:55:00+00:00,2020-04-09 20:55:00+00:00
2020-04-11 14:54:00+00:00,2020-04-11 15:07:00+00:00,XAUUSD,Buy,0.15,1900.3,0.0,1900.71,1900.3,-41.0,-6.83,00:00:13:00,-0.3,1022,1111587,2020-04-09 20:55:00+00:00,2020-04-09 20:55:00+00:00
2020-05-02 07:41:00+00:00,2020-05-02 07:54:00+00:00,XAUUSD,Buy,0.07,1555.9,0.0,1553.54,1555.9,236.0,16.2,00:00:13:00,1.51,1100,1115403,2020-05-01 20:55:00+00:00,2020-05-01 20:55:00+00:00
2020-05-08 00:37:00+00:00,2020-05-08 00:37:00+00:00,XAUUSD,Buy,0.11,2013.29,0.0,2014.8,2013.29,-151.0,-17.11,00:00:00:00,-1.06,1056,1116539,2020-05-08 00:35:00+00:00,2020-05-08 00:35:00+00:00
2020-05-08 15:02:00+00:00,2020-05-08 15:11:00+00:00,XAUUSD,Buy,0.11,2048.0,0.0,2043.51,2048.0,449.0,48.89,00:00:09:00,3.06,1055,1116712,2020-05-08 15:00:00+00:00,2020-05-08 15:00:00+00:00
2020-06-03 12:35:00+00:00,2020-06-03 12:38:00+00:00,XAUUSD,Buy,0.08,1674.2,0.0,1671.83,1674.2,237.0,18.6,00:00:03:00,1.53,1090,1121603,2020-06-03 12:35:00+00:00,2020-06-03 12:35:00+00:00
2020-06-03 14:28:00+00:00,2020-06-03 14:30:00+00:00,XAUUSD,Buy,0.08,1652.5,0.0,1643.76,1652.5,874.0,69.56,00:00:02:00,5.63,1089,1121625,2020-06-03 14:25:00+00:00,2020-06-03 14:25:00+00:00
2020-07-01 01:11:00+00:00,2020-07-01 01:56:00+00:00,XAUUSD,Buy,0.07,1558.7,0.0,1557.04,1558.7,166.0,11.3,00:00:45:00,1.13,1105,1126950,2020-07-01 01:10:00+00:00,2020-07-01 01:10:00+00:00
2020-07-08 14:04:00+00:00,2020-07-08 14:06:00+00:00,XAUUSD,Buy,0.11,2033.59,0.0,2035.1,2033.59,-151.0,-17.11,00:00:02:00,-1.04,1054,1128412,2020-07-08 14:00:00+00:00,2020-07-08 14:00:00+00:00
2020-08-01 15:45:00+00:00,2020-08-01 15:48:00+00:00,XAUUSD,Buy,0.07,1556.6,0.0,1554.86,1556.6,174.0,11.86,00:00:03:00,1.17,1104,1133187,2020-07-31 20:55:00+00:00,2020-07-31 20:55:00+00:00
2020-08-04 14:10:00+00:00,2020-08-04 14:18:00+00:00,XAUUSD,Buy,0.09,1648.3,0.0,1647.34,1648.3,96.0,8.23,00:00:08:00,0.59,1075,1133658,2020-08-04 14:10:00+00:00,2020-08-04 14:10:00+00:00
2020-08-09 10:14:00+00:00,2020-08-09 10:27:00+00:00,XAUUSD,Buy,0.14,1916.4,0.0,1911.91,1916.4,449.0,62.23,00:00:13:00,3.07,1037,1134567,2020-08-07 20:55:00+00:00,2020-08-07 20:55:00+00:00
2020-08-12 14:03:00+00:00,2020-08-12 14:16:00+00:00,XAUUSD,Buy,0.16,1868.8,0.0,1863.61,1868.8,519.0,82.32,00:00:13:00,3.49,1014,1135300,2020-08-12 14:00:00+00:00,2020-08-12 14:00:00+00:00
2020-09-04 14:23:00+00:00,2020-09-04 14:24:00+00:00,XAUUSD,Buy,0.09,1671.03,0.0,1672.53,1671.03,-150.0,-13.91,00:00:01:00,-0.99,1074,1139984,2020-09-04 14:20:00+00:00,2020-09-04 14:20:00+00:00
2020-09-07 15:05:00+00:00,2020-09-07 15:06:00+00:00,XAUUSD,Buy,0.1,1797.02,0.0,1798.52,1797.02,-150.0,-15.45,00:00:01:00,-1.02,1062,1140269,2020-09-07 15:05:00+00:00,2020-09-07 15:05:00+00:00
2020-09-09 11:00:00+00:00,2020-09-09 11:15:00+00:00,XAUUSD,Buy,0.14,1920.21,0.0,1921.71,1920.21,-150.0,-21.63,00:00:15:00,-1.03,1036,1140724,2020-09-09 11:00:00+00:00,2020-09-09 11:00:00+00:00
2020-09-11 12:39:00+00:00,2020-09-11 12:40:00+00:00,XAUUSD,Buy,0.15,1876.79,0.0,1878.29,1876.79,-150.0,-23.18,00:00:01:00,-1.01,1021,1141295,2020-09-11 12:35:00+00:00,2020-09-11 12:35:00+00:00
2020-09-11 13:48:00+00:00,2020-09-11 13:52:00+00:00,XAUUSD,Buy,0.15,1870.2,0.0,1869.21,1870.2,99.0,14.17,00:00:04:00,0.62,1020,1141309,2020-09-11 13:45:00+00:00,2020-09-11 13:45:00+00:00
2020-09-12 03:13:00+00:00,2020-09-12 04:35:00+00:00,XAUUSD,Buy,0.16,1859.7,0.0,1856.61,1859.7,309.0,48.72,00:01:22:00,2.0,1013,1141395,2020-09-11 20:55:00+00:00,2020-09-11 20:55:00+00:00
2020-10-11 08:55:00+00:00,2020-10-11 09:02:00+00:00,XAUUSD,Buy,0.15,1877.2,0.0,1875.51,1877.2,169.0,24.67,00:00:07:00,1.08,1019,1146915,2020-10-09 20:55:00+00:00,2020-10-09 20:55:00+00:00
2020-11-02 05:42:00+00:00,2020-11-02 08:00:00+00:00,XAUUSD,Buy,0.07,1567.8,0.0,1567.54,1567.8,26.0,1.5,00:02:18:00,0.14,1099,1151136,2020-11-02 05:40:00+00:00,2020-11-02 05:40:00+00:00
2020-11-02 15:50:00+00:00,2020-11-02 17:17:00+00:00,XAUUSD,Buy,0.07,1566.4,0.0,1563.34,1566.4,306.0,21.1,00:01:27:00,1.94,1098,1151258,2020-11-02 15:50:00+00:00,2020-11-02 15:50:00+00:00
2020-11-05 15:18:00+00:00,2020-11-05 15:20:00+00:00,XAUUSD,Buy,0.09,1696.93,0.0,1698.43,1696.93,-150.0,-13.91,00:00:02:00,-0.98,1066,1152079,2020-11-05 15:15:00+00:00,2020-11-05 15:15:00+00:00
2020-11-08 06:46:00+00:00,2020-11-08 06:54:00+00:00,XAUUSD,Buy,0.11,2009.5,0.0,2007.1,2009.5,240.0,25.9,00:00:08:00,1.59,1053,1152435,2020-11-06 21:55:00+00:00,2020-11-06 21:55:00+00:00
2020-11-08 12:19:00+00:00,2020-11-08 12:24:00+00:00,XAUUSD,Buy,0.11,1980.8,0.0,1978.41,1980.8,239.0,25.79,00:00:05:00,1.56,1052,1152435,2020-11-06 21:55:00+00:00,2020-11-06 21:55:00+00:00
2020-11-08 15:03:00+00:00,2020-11-08 15:14:00+00:00,XAUUSD,Buy,0.11,1950.0,0.0,1940.61,1950.0,939.0,102.79,00:00:11:00,6.12,1051,1152435,2020-11-06 21:55:00+00:00,2020-11-06 21:55:00+00:00
2020-11-08 16:30:00+00:00,2020-11-08 16:39:00+00:00,XAUUSD,Buy,0.12,1944.4,0.0,1943.41,1944.4,99.0,11.34,00:00:09:00,0.64,1050,1152435,2020-11-06 21:55:00+00:00,2020-11-06 21:55:00+00:00
2020-11-11 13:45:00+00:00,2020-11-11 13:54:00+00:00,XAUUSD,Buy,0.15,1862.11,0.0,1863.61,1862.11,-150.0,-23.18,00:00:09:00,-1.0,1018,1153165,2020-11-11 13:45:00+00:00,2020-11-11 13:45:00+00:00
2020-12-03 13:38:00+00:00,2020-12-03 13:40:00+00:00,XAUUSD,Buy,0.09,1591.6,0.0,1589.16,1591.6,244.0,21.55,00:00:02:00,1.65,1088,1157492,2020-12-03 13:35:00+00:00,2020-12-03 13:35:00+00:00
2020-12-03 14:16:00+00:00,2020-12-03 14:16:00+00:00,XAUUSD,Buy,0.09,1579.26,0.0,1580.76,1579.26,-150.0,-13.91,00:00:00:00,-1.05,1087,1157500,2020-12-03 14:15:00+00:00,2020-12-03 14:15:00+00:00
2020-12-03 18:30:00+00:00,2020-12-03 18:31:00+00:00,XAUUSD,Buy,0.09,1577.16,0.0,1578.66,1577.16,-150.0,-13.91,00:00:01:00,-1.06,1086,1157551,2020-12-03 18:30:00+00:00,2020-12-03 18:30:00+00:00
