feature,mean_abs_shap
M5_atr_7,0.009187723259081562
M5_candle_range,0.008637663650500092
M5_atr_14,0.00861206345074058
M5_std_dev_50,0.008545966120895341
M5_lower_shadow,0.007343303026678788
M5_std_dev_20,0.006948743005011681
M5_atr_28,0.005207125712507675
M5_bb_50_2_width,0.005176480741007468
M5_bb_20_3_width,0.00476819629584879
M5_bb_20_3_lower,0.004440520286624615
M5_atr_50,0.004098864549227159
M5_atr_21,0.003748944210329877
M5_support_2,0.0035034756473125454
M5_macd_fast_signal,0.0034145136095197846
M5_awesome_oscillator,0.0032588120148175958
M5_keltner_width,0.0031309302263900027
M5_bb_20_2_width,0.003018970128209682
M5_distance_to_fib_500,0.0030149486327513027
M5_roc_10,0.0030121708815715035
M5_atr_100,0.002890883454623929
M5_distance_to_fib_786,0.0028646093162044846
M5_volume_ratio_20,0.002804803586696539
M5_support_1,0.002741226873685814
M5_kst,0.002685519546286607
M5_macd_std_signal,0.002588369303900606
M5_macd_std_diff,0.0025192712697260306
M5_day_of_month,0.0025005684085092545
M5_aroon_down,0.002495310826245567
M5_bear_power,0.0024679051168840648
M5_keltner_lower,0.0023912241825750353
M5_macd_fast,0.002234457459531035
M5_candle_body,0.0022175706723747556
M5_obv,0.0020908157083703712
M5_macd_std,0.0020532786639875017
M5_volume_change,0.002034569125484864
M5_distance_to_swing_high,0.002005365471085647
M5_kst_signal,0.0019438198505245796
M5_sma_20_distance,0.001929978134384198
M5_williams_r_28,0.0019180003914509814
M5_distance_to_fib_382,0.001841675383060799
M5_adx_28,0.0018254653664678663
M5_ichimoku_base,0.0018107009794320823
M5_distance_from_high,0.0017736373301828153
open_hour_cos,0.001758679543052508
M5_distance_to_fib_236,0.0016763130221055396
M5_psar,0.0016439873790623338
M5_roc_20,0.001631037681194531
M5_support_3,0.001618876656038527
M5_swing_low_50,0.0015769692057857499
M5_donchian_middle,0.00156137398217854
M5_resistance_1,0.0014797388370166662
M5_stoch_21_k,0.001431706831898059
M5_roc_5,0.0014275424042234231
M5_upper_shadow,0.0014187607424984005
M5_sma_200_distance,0.001382143847534924
M5_supertrend_lower,0.001376129222333083
M5_dpo,0.0013575182441954519
M5_roc_50,0.0013512728279158274
M5_macd_fast_diff,0.0013481648729469448
M5_bull_power,0.001319421712837471
M5_donchian_lower,0.0013045807747176143
M5_distance_to_fib_618,0.0012994828661362123
M5_position_in_swing_range,0.001281947158485938
M5_aroon_indicator,0.0012738382722433782
M5_bb_20_3_upper,0.001239383451887209
M5_keltner_upper,0.001202395707129555
M5_adx_21,0.001182544139305105
M5_resistance_3,0.0011703013470600954
M5_tsi,0.001151103236797587
M5_bb_20_2_upper,0.0011423914734828718
open_hour,0.0011175577845796442
M5_ichimoku_conversion,0.00110802649665024
M5_ema_200_distance,0.0011035034163070427
M5_stoch_21_d,0.0011004069085327872
M5_stoch_14_d,0.0010897310494280836
M5_ichimoku_b,0.0010440244933960193
M5_supertrend_upper,0.0010157980732906171
M5_distance_to_swing_low,0.0010083194983069206
M5_mass_index,0.0010074566807621154
M5_ema_9_distance,0.0010047113699036317
M5_close_position_in_range,0.0009908421870081319
M5_mfi,0.0009816775556931888
M5_aroon_up,0.0009743620614121502
M5_rsi_28,0.0009669069763629748
M5_williams_r_14,0.0009589828989856038
M5_body_to_range_ratio,0.0009563426052274841
M5_pivot_point,0.0009445232208901344
M5_sma_50_distance,0.0009411764070672375
M5_bb_20_2_lower,0.0009310971886125058
M5_swing_high_50,0.0009056302908573921
M5_plus_di,0.0008986471684761798
M5_cci_50,0.0008787852272062618
close_hour,0.0008626340857882957
M5_resistance_2,0.0008487886132460518
M5_ema_20_distance,0.0008390435498069505
M5_minus_di,0.0008370837927513862
open_hour_sin,0.000832844424052567
M5_rsi_14,0.0008111515987175022
M5_adx_14,0.0007929575426292115
M5_cci_20,0.000754210609261781
M5_cmf,0.0007510676889883772
M5_ultimate_oscillator,0.0007492802623763368
M5_vwap_distance,0.0007263408738584211
M5_vpt,0.0006759819173966579
M5_stoch_14_k,0.0006517969652717645
M5_ema_100_distance,0.000627035871454496
M5_rsi_50,0.0006069876124687911
M5_rsi_21,0.0006007036138887554
M5_rsi_7,0.0005988424869217723
M5_cci_14,0.0005884450465625035
close_hour_cos,0.0005536257322687107
M5_roc_1,0.0005371198650284429
M5_ema_50_distance,0.0005127120422995069
open_dow_sin,0.0005034991843873063
open_dow_cos,0.00047832210609847684
M5_vwap,0.0004773848338973892
hour_of_day,0.0004593860842651043
M5_hour_of_day,0.00044987321004615196
M5_donchian_upper,0.0003884452794244425
M5_ichimoku_a,0.00035952551809632997
open_dow,0.0003550978986050693
day_of_week,0.00034060167163938956
open_month,0.00033597371883303394
close_dow_cos,0.00033199119160883493
close_hour_sin,0.0003269452937052616
M5_ema_9_above_200,0.0003090328826333202
close_month,0.0002942435638874432
M5_is_london_session,0.00026250947752241345
close_dow,0.00023672141471670432
M5_day_of_week,0.00021380233538802887
close_dow_sin,0.00019520897985648232
M5_ema_9_above_20,0.00013482505931420387
M5_is_bullish,0.00013240691670157452
M5_ema_50_above_200,0.00011649575510802747
M5_is_ny_session,8.151611508552441e-05
M5_ema_20_above_50,5.1683815886242254e-05
M5_is_asian_session,4.7693891439919364e-05
M5_psar_signal,1.7570826713332912e-05
trade_direction,0.0
M5_is_weekend,0.0
M5_price_above_cloud,0.0
