open_time,close_time,Symbol,action,lots,SL,TP,entry_price,exit_price,pips,profit,Duration (DDHHMMSS),Change %,trade_id,M5_candle_idx,M5_candle_time,M15_candle_idx,M15_candle_time,H1_candle_idx,H1_candle_time,H4_candle_idx,H4_candle_time,D1_candle_idx,D1_candle_time
2026-03-10 08:24:00,2026-03-10 08:31:00,XAUUSD,Buy,100.0,5169.3,0.0,5160.22,5169.3,908.0,90350.0,00:00:07:00,1.6,0,361760.0,2026-03-10 08:20:00,120798.0,2026-03-10 08:15:00,30218.0,2026-03-10 08:00:00,7777.0,2026-03-10 08:00:00,1500.0,2026-03-10
2026-03-09 17:18:00,2026-03-09 17:19:00,XAUUSD,Buy,100.0,5096.41,0.0,5097.91,5096.41,-150.0,-15450.0,00:00:01:00,-0.27,1,361594.0,2026-03-09 17:15:00,120742.0,2026-03-09 17:15:00,30204.0,2026-03-09 17:00:00,7773.0,2026-03-09 16:00:00,1499.0,2026-03-09
2026-03-09 13:56:00,2026-03-09 13:57:00,XAUUSD,Buy,100.0,5096.5,0.0,5095.81,5096.5,69.0,6450.0,00:00:01:00,0.11,2,361554.0,2026-03-09 13:55:00,120728.0,2026-03-09 13:45:00,30200.0,2026-03-09 13:00:00,7772.0,2026-03-09 12:00:00,1499.0,2026-03-09
2026-03-09 10:46:00,2026-03-09 10:48:00,XAUUSD,Buy,100.0,5104.2,0.0,5098.61,5104.2,559.0,55450.0,00:00:02:00,0.99,3,361516.0,2026-03-09 10:45:00,120716.0,2026-03-09 10:45:00,30197.0,2026-03-09 10:00:00,7771.0,2026-03-09 08:00:00,1499.0,2026-03-09
2026-03-09 10:45:00,2026-03-09 10:45:00,XAUUSD,Buy,100.0,5103.07,0.0,5104.57,5103.07,-150.0,-15450.0,00:00:00:00,-0.28,4,361516.0,2026-03-09 10:45:00,120716.0,2026-03-09 10:45:00,30197.0,2026-03-09 10:00:00,7771.0,2026-03-09 08:00:00,1499.0,2026-03-09
2026-03-09 09:24:00,2026-03-09 09:25:00,XAUUSD,Buy,100.0,5097.9,0.0,5096.51,5097.9,139.0,13450.0,00:00:01:00,0.24,5,361499.0,2026-03-09 09:20:00,120710.0,2026-03-09 09:15:00,30196.0,2026-03-09 09:00:00,7771.0,2026-03-09 08:00:00,1499.0,2026-03-09
2026-03-09 06:58:00,2026-03-09 06:59:00,XAUUSD,Buy,100.0,5124.5,0.0,5121.71,5124.5,279.0,27450.0,00:00:01:00,0.49,6,361470.0,2026-03-09 06:55:00,120700.0,2026-03-09 06:45:00,30193.0,2026-03-09 06:00:00,7770.0,2026-03-09 04:00:00,1499.0,2026-03-09
2026-03-09 01:48:00,2026-03-09 01:49:00,XAUUSD,Buy,100.0,5045.4,0.0,5035.6,5045.4,980.0,97550.0,00:00:01:00,1.78,7,361408.0,2026-03-09 01:45:00,120680.0,2026-03-09 01:45:00,30188.0,2026-03-09 01:00:00,7769.0,2026-03-09 00:00:00,1499.0,2026-03-09
2026-03-08 23:42:00,2026-03-08 23:43:00,XAUUSD,Buy,100.0,5124.5,0.0,5117.51,5124.5,699.0,69450.0,00:00:01:00,1.28,8,,,,,,,,,,
2026-03-06 16:24:00,2026-03-06 16:25:00,XAUUSD,Buy,100.0,5139.11,0.0,5140.61,5139.11,-150.0,-15450.0,00:00:01:00,-0.28,9,361298.0,2026-03-06 16:20:00,120642.0,2026-03-06 16:15:00,30179.0,2026-03-06 16:00:00,7767.0,2026-03-06 16:00:00,1498.0,2026-03-06
