open_time,close_time,Symbol,action,lots,SL,TP,entry_price,exit_price,pips,profit,Duration (DDHHMMSS),Change %,trade_id,M5_candle_idx,M5_candle_time,M15_candle_idx,M15_candle_time,H1_candle_idx,H1_candle_time,H4_candle_idx,H4_candle_time,D1_candle_idx,D1_candle_time
2026-03-10 07:24:00,2026-03-10 07:31:00,XAUUSD,Buy,100.0,5169.3,0.0,5160.22,5169.3,908.0,90350.0,00:00:07:00,1.6,0,1519874.0,2026-03-10 07:20:00,509540.0,2026-03-10 07:15:00,128035.0,2026-03-10 07:00:00,33999.0,2026-03-10 04:00:00,6594.0,2026-03-10
2026-03-09 16:18:00,2026-03-09 16:19:00,XAUUSD,Buy,100.0,5096.41,0.0,5097.91,5096.41,-150.0,-15450.0,00:00:01:00,-0.27,1,1519705.0,2026-03-09 16:15:00,509484.0,2026-03-09 16:15:00,128021.0,2026-03-09 16:00:00,33996.0,2026-03-09 16:00:00,6593.0,2026-03-09
2026-03-09 12:56:00,2026-03-09 12:57:00,XAUUSD,Buy,100.0,5096.5,0.0,5095.81,5096.5,69.0,6450.0,00:00:01:00,0.11,2,1519665.0,2026-03-09 12:55:00,509470.0,2026-03-09 12:45:00,128017.0,2026-03-09 12:00:00,33995.0,2026-03-09 12:00:00,6593.0,2026-03-09
2026-03-09 09:46:00,2026-03-09 09:48:00,XAUUSD,Buy,100.0,5104.2,0.0,5098.61,5104.2,559.0,55450.0,00:00:02:00,0.99,3,1519627.0,2026-03-09 09:45:00,509458.0,2026-03-09 09:45:00,128014.0,2026-03-09 09:00:00,33994.0,2026-03-09 08:00:00,6593.0,2026-03-09
2026-03-09 09:45:00,2026-03-09 09:45:00,XAUUSD,Buy,100.0,5103.07,0.0,5104.57,5103.07,-150.0,-15450.0,00:00:00:00,-0.28,4,1519627.0,2026-03-09 09:45:00,509458.0,2026-03-09 09:45:00,128014.0,2026-03-09 09:00:00,33994.0,2026-03-09 08:00:00,6593.0,2026-03-09
2026-03-09 08:24:00,2026-03-09 08:25:00,XAUUSD,Buy,100.0,5097.9,0.0,5096.51,5097.9,139.0,13450.0,00:00:01:00,0.24,5,1519610.0,2026-03-09 08:20:00,509452.0,2026-03-09 08:15:00,128013.0,2026-03-09 08:00:00,33994.0,2026-03-09 08:00:00,6593.0,2026-03-09
2026-03-09 05:58:00,2026-03-09 05:59:00,XAUUSD,Buy,100.0,5124.5,0.0,5121.71,5124.5,279.0,27450.0,00:00:01:00,0.49,6,1519581.0,2026-03-09 05:55:00,509442.0,2026-03-09 05:45:00,128010.0,2026-03-09 05:00:00,33993.0,2026-03-09 04:00:00,6593.0,2026-03-09
2026-03-09 00:48:00,2026-03-09 00:49:00,XAUUSD,Buy,100.0,5045.4,0.0,5035.6,5045.4,980.0,97550.0,00:00:01:00,1.78,7,1519519.0,2026-03-09 00:45:00,509422.0,2026-03-09 00:45:00,128005.0,2026-03-09 00:00:00,33992.0,2026-03-09 00:00:00,6593.0,2026-03-09
2026-03-08 22:42:00,2026-03-08 22:43:00,XAUUSD,Buy,100.0,5124.5,0.0,5117.51,5124.5,699.0,69450.0,00:00:01:00,1.28,8,1519494.0,2026-03-08 22:40:00,509413.0,2026-03-08 22:30:00,128003.0,2026-03-08 22:00:00,33991.0,2026-03-08 20:00:00,6592.0,2026-03-08
2026-03-06 15:24:00,2026-03-06 15:25:00,XAUUSD,Buy,100.0,5139.11,0.0,5140.61,5139.11,-150.0,-15450.0,00:00:01:00,-0.28,9,1519406.0,2026-03-06 15:20:00,509384.0,2026-03-06 15:15:00,127996.0,2026-03-06 15:00:00,33988.0,2026-03-06 12:00:00,6591.0,2026-03-06
