feature,mean_abs_shap
H4_atr_14,0.007168287733993233
H4_keltner_width,0.0057163164749570615
H4_std_dev_50,0.005224397961043391
H4_awesome_oscillator,0.0050430612835522136
H4_atr_28,0.004666286281171203
H4_atr_21,0.00458485986693896
H4_bb_20_3_width,0.003951058479408912
H4_adx_28,0.003950413723098392
H4_bb_50_2_width,0.003803016317910864
H4_bb_20_2_width,0.0036540343296107784
H4_adx_21,0.0034528341665306162
H4_adx_14,0.003394673415504249
H4_distance_to_fib_786,0.003341577177497805
H4_macd_fast,0.0031919021619964006
H4_bull_power,0.0031140005668590038
H4_macd_std,0.003080027248580258
H4_vpt,0.0029863549211662367
H4_atr_7,0.002969864622553225
H4_atr_50,0.002852799339720846
H4_supertrend_lower,0.0028347180695707007
H4_resistance_1,0.002706349784881706
H4_distance_to_fib_618,0.0025949431945615723
H4_distance_to_fib_236,0.0025742054960678053
H4_mfi,0.002489238598275087
H4_day_of_month,0.002467356850747036
H4_ema_20_distance,0.0024355277574687685
H4_std_dev_20,0.0022384436036688208
H4_bear_power,0.0022380723915445136
H4_candle_body,0.002206207028826254
H4_atr_100,0.002158428331194123
H4_stoch_21_d,0.0021043581369086387
H4_kst,0.0020250770046716885
H4_support_3,0.0019887582712124173
H4_close_position_in_range,0.001973534660803469
H4_dpo,0.001949674472984499
H4_distance_to_fib_500,0.0019369442873899718
H4_obv,0.0019254778827765264
H4_cci_20,0.0019232251436808081
H4_sma_200_distance,0.0019036364176354048
H4_ema_200_distance,0.001866868385201835
H4_macd_fast_signal,0.0018350724755873695
H4_roc_10,0.001810811641278767
H4_resistance_3,0.001795893418098855
H4_kst_signal,0.0017891274863635275
H4_sma_20_distance,0.0017716723076933894
H4_cci_50,0.0017698136372374
H4_plus_di,0.0017582434897525708
H4_candle_range,0.0017386341577542701
open_hour_cos,0.001689351470308943
H4_rsi_14,0.001683900791091632
H4_macd_std_signal,0.0016383020742809487
H4_distance_to_swing_low,0.001576557795038582
H4_distance_to_swing_high,0.0015400221419828767
H4_tsi,0.0015116050706261528
H4_resistance_2,0.0014860149722474255
H4_ichimoku_b,0.0014281274067135849
H4_roc_1,0.0013887451616373737
H4_volume_change,0.0013844355995943955
H4_lower_shadow,0.0013318594584058902
H4_upper_shadow,0.0013064799387428913
H4_ichimoku_conversion,0.00129964427669053
H4_ema_50_distance,0.0012715206497921439
H4_stoch_14_k,0.0012293341218686427
close_hour_cos,0.0011933463406976676
H4_macd_std_diff,0.0011736424731215026
H4_distance_from_high,0.0011666044093437502
H4_roc_20,0.0011646034328760561
H4_cmf,0.001151510226500961
H4_roc_5,0.0011401028291121898
H4_ema_100_distance,0.0010894734797882299
H4_distance_to_fib_382,0.0010798881642386864
H4_minus_di,0.0010779125472344434
H4_williams_r_14,0.0010738711921333952
H4_psar,0.0010447827603070026
H4_ema_9_distance,0.001035031332354338
H4_body_to_range_ratio,0.0010309134124538073
H4_bb_20_2_upper,0.0009914776912256355
H4_rsi_7,0.0009632444827292383
H4_macd_fast_diff,0.000922992357083405
H4_volume_ratio_20,0.0009051593807779946
H4_pivot_point,0.0008909683292327098
H4_aroon_indicator,0.0008511199336693026
H4_bb_20_3_lower,0.0008346040676979655
H4_support_1,0.0007948517403666892
open_month,0.0007917345987658873
H4_ultimate_oscillator,0.0007869410775949371
H4_mass_index,0.0007869338978713324
H4_aroon_down,0.0007584464067870106
H4_stoch_14_d,0.0007567634149813089
H4_williams_r_28,0.0007561158769853636
H4_vwap,0.0007454769270522399
H4_cci_14,0.0007384361260293367
H4_rsi_21,0.0007251509509454393
H4_stoch_21_k,0.0007199337734818931
H4_position_in_swing_range,0.0007073607421866922
H4_roc_50,0.0006821906932300718
H4_support_2,0.0006740463345345781
close_dow_sin,0.000668277039620695
hour_of_day,0.0006537801696054906
H4_ichimoku_base,0.0006327424144366856
open_hour,0.0006115124570145384
H4_donchian_lower,0.0005905482331595046
H4_rsi_50,0.000581402926822535
H4_sma_50_distance,0.0005782340399105152
H4_swing_high_50,0.0005688459588153357
H4_donchian_middle,0.00056833958920124
H4_swing_low_50,0.0005654242879151028
H4_aroon_up,0.000553591724261513
open_dow_sin,0.0005292550650148875
H4_keltner_upper,0.0005273238484915905
H4_bb_20_2_lower,0.0004915049633589016
H4_ichimoku_a,0.0004898457070384474
H4_donchian_upper,0.0004721270556967756
H4_keltner_lower,0.00044909740979442363
H4_bb_20_3_upper,0.0004348464296531889
open_hour_sin,0.000431525519973311
close_hour,0.00039657436075621875
H4_rsi_28,0.0003833951598636305
open_dow_cos,0.00035864056359211083
day_of_week,0.00035627222781137413
open_dow,0.0003545045357646572
H4_supertrend_upper,0.0003338675751613862
H4_day_of_week,0.0003274507507374862
close_hour_sin,0.00031922370263773336
H4_vwap_distance,0.00028243220043891096
H4_hour_of_day,0.00024319953665961013
close_dow_cos,0.0002378168733785725
close_month,0.0002313432139099459
H4_is_bullish,0.00022630574889310535
H4_is_ny_session,0.00021402894000020035
H4_is_asian_session,0.00020787744489634763
close_dow,0.00020628455248274634
H4_psar_signal,0.00014779574147798127
H4_is_london_session,9.446696254917891e-05
H4_ema_20_above_50,6.917852673993861e-05
H4_ema_9_above_20,6.52736748756445e-05
H4_ema_50_above_200,4.9529362514300655e-05
H4_is_weekend,4.645329156789866e-05
H4_ema_9_above_200,1.6630883627895638e-05
H4_price_above_cloud,7.364469191613992e-06
trade_direction,0.0
