timestamp,open,high,low,close,volume
2021-04-23 00:00:00,1783.89,1795.95,1770.01,1776.77,103946
2021-04-25 00:00:00,1775.48,1775.99,1774.54,1774.67,1039
2021-04-26 00:00:00,1774.67,1783.50,1768.84,1781.49,97273
2021-04-27 00:00:00,1781.51,1785.55,1773.76,1775.47,92524
2021-04-28 00:00:00,1775.57,1783.23,1762.62,1782.92,107524
2021-04-29 00:00:00,1782.92,1789.98,1756.19,1771.94,107346
2021-04-30 00:00:00,1771.94,1773.62,1764.24,1768.80,98973
2021-05-02 00:00:00,1766.81,1768.46,1766.04,1767.98,1084
2021-05-03 00:00:00,1767.98,1797.91,1767.39,1792.07,92378
2021-05-04 00:00:00,1792.11,1799.09,1771.01,1778.69,109813
2021-05-05 00:00:00,1778.69,1788.02,1770.49,1785.87,87910
2021-05-06 00:00:00,1785.87,1818.12,1782.00,1814.13,111852
2021-05-07 00:00:00,1814.13,1843.30,1812.85,1830.72,128878
2021-05-09 00:00:00,1833.04,1833.94,1832.12,1832.75,1355
2021-05-10 00:00:00,1832.76,1845.49,1829.97,1835.37,126750
2021-05-11 00:00:00,1835.37,1841.80,1818.09,1837.21,122542
2021-05-12 00:00:00,1837.21,1843.68,1813.24,1817.05,140556
2021-05-13 00:00:00,1817.03,1828.80,1808.77,1825.89,123436
2021-05-14 00:00:00,1825.80,1845.93,1819.77,1841.03,102448
2021-05-16 00:00:00,1843.52,1848.07,1843.52,1845.58,1524
2021-05-17 00:00:00,1845.58,1868.41,1843.55,1865.78,105217
2021-05-18 00:00:00,1865.78,1875.03,1863.20,1868.97,96274
2021-05-19 00:00:00,1868.97,1890.09,1852.23,1868.22,157639
2021-05-20 00:00:00,1868.22,1883.94,1863.86,1876.09,149464
2021-05-21 00:00:00,1876.06,1889.41,1870.10,1878.70,142186
2021-05-23 00:00:00,1881.41,1881.41,1880.13,1880.87,1383
2021-05-24 00:00:00,1880.99,1887.02,1875.17,1880.72,129298
2021-05-25 00:00:00,1880.78,1900.29,1872.71,1898.72,123634
2021-05-26 00:00:00,1898.73,1912.74,1890.77,1896.50,123404
2021-05-27 00:00:00,1896.50,1903.67,1888.28,1896.26,126017
2021-05-28 00:00:00,1896.30,1905.95,1882.27,1901.34,134693
2021-05-30 00:00:00,1903.74,1904.78,1903.25,1903.83,1280
2021-05-31 00:00:00,1903.76,1910.65,1902.14,1907.69,74447
2021-06-01 00:00:00,1907.71,1916.58,1892.37,1899.30,124646
2021-06-02 00:00:00,1899.30,1909.09,1894.37,1908.79,107444
2021-06-03 00:00:00,1908.75,1909.64,1865.37,1871.67,133525
2021-06-04 00:00:00,1871.67,1896.14,1855.50,1891.61,128750
2021-06-06 00:00:00,1890.19,1890.68,1889.30,1889.86,920
2021-06-07 00:00:00,1889.86,1900.13,1881.57,1898.67,105306
2021-06-08 00:00:00,1898.67,1903.67,1883.84,1892.68,106359
2021-06-09 00:00:00,1892.68,1898.95,1887.33,1889.03,98061
2021-06-10 00:00:00,1889.03,1899.90,1869.84,1898.54,128784
2021-06-11 00:00:00,1898.63,1903.03,1874.44,1876.74,119711
2021-06-13 00:00:00,1876.07,1877.62,1873.44,1875.53,1246
