#,entry_time,exit_time,direction,entry_price,exit_price,pnl_pips,cost_pips,net_pips,hold_minutes,hold_display,session,day_of_week,exit_reason,rule_id
1,2026-03-05 20:00:00,2026-03-06 20:00:00,BUY,5063.08,5171.01,10793.0,41.0,10706.5,1440.0,24h,New York,Thursday,TIME_EXIT,0
2,2026-03-09 08:00:00,2026-03-09 12:00:00,BUY,5124.19,5105.21,-1898.0,41.0,-1939.0,240.0,4h,London,Monday,STOP_LOSS_GAP,0
3,2026-03-09 16:00:00,2026-03-10 16:00:00,BUY,5074.14,5227.51,15337.0,41.0,15250.5,1440.0,24h,New York,Monday,TIME_EXIT,0
4,2026-03-19 12:00:00,2026-03-19 16:00:00,BUY,4699.0,4620.9,-7810.0,41.0,-7851.0,240.0,4h,London,Thursday,STOP_LOSS_GAP,0
5,2026-03-20 12:00:00,2026-03-20 16:00:00,BUY,4667.52,4616.3,-5122.0,41.0,-5163.0,240.0,4h,London,Friday,STOP_LOSS_GAP,0
6,2026-03-23 20:00:00,2026-03-24 00:00:00,BUY,4426.49,4380.87,-4562.0,41.0,-4648.5,240.0,4h,New York,Monday,STOP_LOSS_GAP,0
7,2026-03-24 04:00:00,2026-03-25 04:00:00,BUY,4322.09,4555.74,23365.0,41.0,23278.5,1440.0,24h,Asian,Tuesday,TIME_EXIT,0
8,2026-03-26 12:00:00,2026-03-26 16:00:00,BUY,4423.6,4422.1,-150.0,41.0,-191.0,240.0,4h,London,Thursday,STOP_LOSS,0
9,2026-03-26 20:00:00,2026-03-27 00:00:00,BUY,4381.33,4379.83,-150.0,41.0,-236.5,240.0,4h,New York,Thursday,STOP_LOSS,0
10,2026-03-27 20:00:00,2026-03-30 00:00:00,BUY,4486.61,4485.11,-150.0,41.0,-327.5,3120.0,52h,New York,Friday,STOP_LOSS,0
11,2026-03-30 04:00:00,2026-03-31 04:00:00,BUY,4431.93,4564.68,13275.0,41.0,13188.5,1440.0,24h,Asian,Monday,TIME_EXIT,0
12,2026-03-31 16:00:00,2026-04-01 16:00:00,BUY,4574.99,4787.22,21223.0,41.0,21136.5,1440.0,24h,New York,Tuesday,TIME_EXIT,0
13,2026-04-06 04:00:00,2026-04-07 04:00:00,BUY,4622.39,4620.89,-150.0,41.0,-236.5,1440.0,24h,Asian,Monday,STOP_LOSS,0
14,2026-04-07 16:00:00,2026-04-08 16:00:00,BUY,4651.55,4760.45,10890.0,41.0,10803.5,1440.0,24h,New York,Tuesday,TIME_EXIT,0
